Date,KOFUBL,GCC,VESTA,GRUMAB,KIMBERA,AMXB,CUERVO,LABB,AC,GENTERA,BIMBOA,GFNORTEO,GAPB,Q,RA,OMAB,ORBIA,PINFRA,ALSEA,ASURB,CHDRAUIB,GCARSOA1,GMEXICOB,CEMEXCPO
2001-01-02,NaN,6.74,NaN,7.6,8.45,NaN,NaN,NaN,NaN,NaN,3.32,3.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.77,2.77,5.87
2001-01-03,NaN,NaN,NaN,NaN,8.42,NaN,NaN,NaN,NaN,NaN,3.38,3.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.66,NaN,8.32,2.82,6
2001-01-04,NaN,6.74,NaN,7.49,8.45,NaN,NaN,NaN,NaN,NaN,3.42,3.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.72,2.77,6.2
2001-01-05,NaN,6.74,NaN,7.29,8.27,NaN,NaN,NaN,NaN,NaN,3.43,3.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.67,2.64,6.14
2001-01-08,NaN,NaN,NaN,7.31,8.3,NaN,NaN,NaN,NaN,NaN,3.41,3.34,NaN,NaN,NaN,NaN,NaN,NaN,1.43,15.6,NaN,8.58,2.61,6.17
2001-01-09,NaN,NaN,NaN,7.11,8,NaN,NaN,NaN,NaN,NaN,3.4,3.38,NaN,NaN,NaN,NaN,NaN,NaN,1.38,14.96,NaN,8.43,2.46,6.3
2001-01-10,NaN,6.7,NaN,7.19,7.67,NaN,NaN,NaN,NaN,NaN,3.3,3.43,NaN,NaN,NaN,NaN,NaN,NaN,1.34,NaN,NaN,8.12,2.41,6.48
2001-01-11,NaN,6.72,NaN,NaN,7.75,NaN,NaN,NaN,NaN,NaN,3.32,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.23,2.45,6.67
2001-01-12,NaN,NaN,NaN,6.93,7.68,NaN,NaN,NaN,NaN,NaN,3.25,3.54,NaN,NaN,NaN,NaN,NaN,NaN,1.38,16.5,NaN,8.23,2.49,6.7
2001-01-15,NaN,NaN,NaN,7.13,7.67,NaN,NaN,NaN,NaN,NaN,3.25,3.5,NaN,NaN,NaN,NaN,NaN,NaN,1.34,16.5,NaN,8.23,2.59,6.66
