Date,OMXS30_ABB,OMXS30_ADDT_B,OMXS30_ALFA,OMXS30_ASSA_B,OMXS30_AZN,OMXS30_ATCO_A,OMXS30_BOL,OMXS30_ERIC_B,OMXS30_SHB_A,OMXS30_HM_B,OMXS30_HEXA_B,OMXS30_INDU_C,OMXS30_INVE_B,OMXS30_NIBE_B,OMXS30_NDA_SE,OMXS30_SAAB_B,OMXS30_SAND,OMXS30_SCA_B,OMXS30_SEB_A,OMXS30_SKA_B,OMXS30_SKF_B,OMXS30_SWED_A,OMXS30_TEL2_B,OMXS30_TELIA,OMXS30_VOLV_B,OMXC20_NOVO_B,OMXC20_DANSKE,OMXC20_DSV,OMXC20_MAERSK_B,OMXC20_CARL_B,OMXC20_COLO_B,OMXC20_GMAB,OMXC20_TRYG,OMXC20_GN,OMXC20_JYSK,OMXC20_NDA_DK,OMXC20_AMBU_B,OMXC20_RBREW,OMXC20_NKT,OMXC20_SYDB,OMXH25_ELISA,OMXH25_FORTUM,OMXH25_HIAB,OMXH25_HUH1V,OMXH25_KEMIRA,OMXH25_KESKOB,OMXH25_KNEBV,OMXH25_KCR,OMXH25_NESTE,OMXH25_NOKIA,OMXH25_TYRES,OMXH25_NDAFI,OMXH25_ORNBV,OMXH25_OUT1V,OMXH25_SAMPO,OMXH25_STERV,OMXH25_TIETO,OMXH25_UPM,OMXH25_WRT1V
2006-01-02,77,7.67,42.38,42.17,390,13.96,63.75,137.5,65.67,134.5,11.12,100.75,34.38,3.51,64.97,38.55,68.78,20.45,85.14,121.5,103.82,180.31,81.19,43.1,75.2,17.88,207.51,79.7,11560,274.05,79.3,137.5,51.02,85.75,289.48,51.39,5.8,77.9,116.95,154,15.85,15.97,28.84,13.98,8.19,5.98,8.34,10.43,8.01,15.51,11.03,6.88,15.84,29.26,2.7,11.45,30.95,16.51,4.18
2006-01-03,79,7.6,42.88,42.17,390,13.84,64.5,138.5,65.67,135.5,11,101.5,34.5,3.53,65.55,39.47,68.41,20.41,85.91,123,102.88,180.73,81.43,43.5,75.5,17.6,204.74,79.5,11612.31,275.26,79,136.5,50.79,86.25,294.59,51.97,5.88,78.62,118.9,154,16.2,16.3,29.5,13.97,8.35,6.21,8.5,10.62,8.3,15.54,10.95,7,15.9,30.31,2.75,11.49,31.19,16.64,4.19
2006-01-04,80.25,7.67,42.38,42.33,394.5,13.8,65,139,65.67,137.5,11.12,100.75,34.88,3.56,65.93,38.78,68.87,20.34,86.17,124.5,103.82,183.62,81.43,43.7,75.4,17.63,204.51,80,11629.74,276.47,79.7,146,51.33,88,292.27,52.55,6.23,81.64,124.55,154.5,16.62,16.61,29.68,14.17,8.47,6.23,8.45,10.9,8.35,15.8,11.02,7.07,16.12,30.66,2.79,11.45,32,16.7,4.27
2006-01-05,81.5,7.67,42.38,42.33,394.5,13.8,65,139,65.67,137.5,11.12,100.75,34.88,3.56,65.93,38.78,68.87,20.34,86.17,124.5,103.82,184.04,81.43,43.7,75.4,17.35,202.19,79.1,11350.77,272.84,79.1,150,50.79,85.5,289.02,52.55,6.15,81.21,122.6,155,16.72,16.52,29.9,14.09,8.47,6.23,8.35,10.96,8.27,16.05,11.22,7.05,16.26,30.54,2.77,11.22,31.48,16.39,4.15
2006-01-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.27,202.66,79.5,11124.1,268.8,79.2,148.5,50.17,87,289.02,52.75,6.2,81.64,123.18,155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006-01-09,84.25,7.67,43.13,42.17,392,14.12,68.5,142.5,64.67,137.5,11.05,101.25,35.88,3.46,66.32,38.09,70.64,20.1,85.91,125.5,107.56,186.1,81.19,44.3,74.7,17.65,205.2,77.3,11036.92,272.44,78.4,150,49.78,85,287.16,52.94,6.25,83.36,122.21,155,16.78,17.1,30.53,14.29,8.37,6.17,8.18,11.13,8.47,16.18,11.24,7.12,16.18,30.43,2.78,11.1,32.15,16.3,4.24
2006-01-10,84,7.6,43,42.17,389,14,68,142,63.83,136.5,10.83,101.25,35,3.42,65.16,37.97,70.45,20.24,85.4,123.5,108.02,183.21,80.94,44.1,74.7,17.5,204.97,76.8,10897.44,276.07,77.8,148.5,48.85,86.5,284.37,52.17,6.23,82.5,121.23,154.5,16.22,17.15,30.8,14.1,8.32,6.13,8.2,11.28,8.44,15.91,11.12,6.97,16.2,30.15,2.76,11.05,32.08,16.17,4.22
2006-01-11,86.25,7.56,43.5,42,388,14.24,71.5,142,64.5,136,10.64,102,35,3.42,65.74,38.09,72.12,20.27,86.69,122.5,109.43,184.45,81.43,44,76,17.3,207.28,79.4,11124.1,274.45,77.4,147,48.85,86.75,283.91,52.17,6.23,81.21,122.79,154.5,16.23,17.35,31.4,14.1,8.15,6.1,8.3,10.94,8.67,15.71,11.02,7.03,16.22,30.57,2.85,11.08,31.15,16.21,4.31
2006-01-12,85.25,7.62,43.13,42.5,389.5,14.6,72.5,138,64.33,135,10.33,101,34.75,3.42,65.55,39.94,72.22,20.27,87.72,123.5,109.89,184.86,79.02,43.4,76.5,17.2,209.83,80,11298.46,280.51,79.9,142,49.24,87,286.23,52.17,6.2,81.64,124.16,155,16.17,17.17,31.3,14.23,8.3,6.28,8.26,10.75,8.8,15.63,11.09,7.02,16.2,30.89,2.84,11.13,31.54,16.3,4.37
2006-01-13,84.25,7.58,42.88,42,384,14.56,72.75,136,64,134.5,10.36,100.25,34.63,3.4,64.97,40.05,71.19,20.24,87.72,121.5,108.96,184.86,77.57,42.7,75.2,17.33,205.43,79.7,11106.67,279.3,79.6,139.5,49.55,86.5,285.3,52.17,6.23,81.78,125.91,155.5,16.65,17.13,30.65,14.08,8.3,6.18,8.11,10.78,8.68,15.55,11.25,6.99,16.03,30.22,2.83,11.16,31.16,16.15,4.35
2006-01-16,85.75,7.69,42.38,42.83,386,14.4,74,136.5,64.33,135.75,10.26,100.75,34.75,3.37,64.97,39.7,71.85,20.34,86.69,123,110.36,186.52,78.78,43.1,75.2,17.3,207.51,79.4,11141.54,288.18,80.4,139.5,50.09,86,285.3,51.97,6.13,82.5,128.64,155.5,16.58,17.28,31.2,14.03,8.37,6.38,8.23,10.69,8.8,15.52,11.25,6.97,16.25,30.36,2.84,11.13,31.62,16.17,4.34
2006-01-17,83.75,7.67,41.88,42.83,381.5,14.08,74.25,134.5,63.83,133.75,10.21,99,34.13,3.31,64.58,38.9,70.64,20.27,85.91,121.5,107.56,185.28,79.02,43.1,73.9,17.2,205.66,78.3,10984.62,288.58,80.5,139,49.94,86,284.84,51.58,6.05,81.93,125.52,155.5,16.45,17.21,30.69,13.96,8.46,6.31,8,10.63,8.72,15.41,11.15,6.93,16.14,30.66,2.84,11.05,31.64,16.1,4.45
2006-01-18,81.75,7.37,41.5,41.67,364,13.68,73,132,62.5,132.5,10.21,97.5,33.5,3.24,63.03,38.55,70.17,20.14,84.62,116,105.22,178.25,77.09,42.6,72.4,17.08,204.51,78.5,10792.82,286.16,79.8,138.5,49.24,85.75,278.8,50.81,6,81.93,122.99,154.5,16.78,17.59,30.92,13.8,8.35,6.21,8,10.54,8.81,15.24,11.2,6.76,16.01,30.15,2.8,10.98,31.03,16.01,4.35
2006-01-19,84,7.4,41.75,41.33,363,13.68,81,133,62,134.5,10.43,98.75,33.13,3.27,62.64,38.9,69.89,20.24,83.59,116.5,106.62,175.77,79.5,42.8,72.5,17.13,206.82,80.4,10792.82,288.98,79.3,138,50.01,86,281.58,50.42,6.05,81.93,123.96,155,16.55,18.36,30.9,14.1,8.38,6.24,7.99,10.77,8.83,15.38,11.96,6.72,15.91,30.91,2.86,10.98,30.63,15.99,4.36
2006-01-20,82.5,7.5,41.25,41,361.5,13.52,90.5,130.5,61.83,133.75,10.4,98.75,32.5,3.28,62.44,38.78,68.87,20.52,84.11,116,104.28,178.66,79.5,42.4,71.6,17.05,206.59,80.4,10478.97,291.41,79.2,139.5,50.17,86.5,280.19,50.03,5.9,81.93,123.77,154.5,16.25,18.42,30.58,13.99,8.44,6.21,8.07,10.74,8.96,15.08,11.81,6.72,16.12,30.84,2.85,11.02,30.75,16.08,4.38
2006-01-23,81.5,7.25,40.25,40.83,356.5,13.56,87,131,61.67,132.75,10.26,97,32.25,3.23,62.83,37.97,68.78,20.07,85.14,115.5,105.69,179.49,79.74,42.2,71.3,16.93,202.42,79.9,10304.62,285.76,78.4,138,48.85,85.75,279.73,50.42,5.73,80.49,123.38,154,16.38,18.44,30.38,13.83,8.32,6.07,7.95,10.83,8.89,14.99,12.18,6.78,16.05,30.43,2.83,11,30.44,16.02,4.3
2006-01-24,79.5,7.25,40.38,40.83,352.5,13.52,84.5,129,61.33,133,10.26,96.5,32,3.27,62.83,38.67,68.13,19.96,85.14,116,106.62,176.18,78.54,41.8,71.5,17.25,202.19,80.2,10566.15,291.81,78.6,137.5,49.55,87.75,278.8,50.81,5.83,79.2,122.79,153.5,16.3,18.27,31,14.12,8.24,6.11,7.88,10.8,8.88,14.88,12.15,6.8,16.33,30.64,2.81,11,30.52,16,4.31
2006-01-25,80.75,7.21,40.63,40.67,361,13.8,92.25,130.5,61.5,134.75,10.26,96.25,32.38,3.42,63.61,38.9,69.89,20.03,85.66,119.5,108.96,177.83,78.29,41.5,71.5,17.15,201.73,79.9,10461.54,292.62,78.9,139,49.39,88.5,286.23,50.81,5.75,77.33,121.04,155,16.43,18.29,30.82,14.39,8.3,6.03,8.18,10.83,8.83,15.12,12.35,6.86,16.44,30.84,2.86,10.96,31.5,16.01,4.42
2006-01-26,84,7.19,41.25,40.5,362,13.84,97.5,133,61.5,136.5,10.17,97.75,33,3.47,64,38.78,68.78,19.86,85.66,120,101.01,179.49,79.5,42.3,73.5,17.15,202.66,80.8,10444.1,297.06,80,147,49.62,89,285.77,51.39,5.85,79.63,119.28,157.5,16.22,18.07,30.8,14.3,8.3,6.15,8.21,10.83,8.69,14.89,13.04,6.92,16.7,31.18,2.87,11,32,16.03,4.44
2006-01-27,83.5,7.29,41.5,40.33,368.5,14.56,99,134.5,62.17,140.75,10.26,98.5,33.5,3.48,64,39.13,70.64,19.96,86.69,119.5,102.41,178.66,80.22,43.3,74.1,17,201.5,83.7,10792.82,292.21,80.8,159,50.63,89.5,286.23,51.58,5.75,81.78,122.79,157.5,16.33,18.39,31,14.36,8.39,6.13,8.53,11,8.71,14.98,13.27,6.92,16.73,32.63,2.91,11.16,32.43,16.39,4.55
2006-01-30,83.25,7.25,41.25,40.17,366,14.36,99.25,136,62,140.25,10.26,99,33.25,3.47,63.61,39.59,70.82,20.1,87.2,118,101.48,176.59,79.98,43.1,74.3,17.43,200.8,86,10880,291.81,81.2,161.5,50.4,89.75,289.02,51.58,5.73,81.64,122.21,158.5,16.3,18.78,31.45,14.47,8.41,6.09,8.37,11.39,8.87,14.96,13.1,6.92,16.58,32.44,2.92,11.2,32.1,16.3,4.47
2006-01-31,82.5,7.27,41,40.83,369.5,14.2,108,137,62.33,139.75,10.33,99.75,33.25,3.53,63.41,39.24,69.52,21.86,87.46,118,99.61,179.07,78.78,43.2,74.4,17.2,199.65,85.4,10670.77,284.54,80.6,161,50.71,87.75,286.23,51.58,5.75,83.08,120.06,160,16.23,18.39,31.37,14.39,8.41,6.1,8.3,11.29,8.87,15.05,12.72,6.87,16.65,32.44,2.92,11.41,32,16.81,4.49
2006-02-01,84,7.37,41.5,41.83,372,14.6,106.5,138.5,63.67,139.25,10.64,100.75,33.13,3.57,63.8,39.13,70.27,21.86,88.75,121,100.07,180.73,79.02,42.6,73.8,17.35,203.81,86.1,10932.31,286.97,84.7,162,52.03,89.75,289.95,51.78,5.8,83.51,121.43,160,16.28,18.9,30.3,14.45,8.44,6.17,8.39,11.25,8.84,15.27,12.61,6.92,16.76,32.26,2.96,11.69,32.19,17.3,4.55
2006-02-02,84.25,7.42,42.13,41.33,360.5,15.11,105,138,62.67,138.25,10.71,101,33.5,3.56,63.8,39.24,72.96,21.76,88.49,121.5,100.54,180.73,79.5,42.6,75.6,17.68,205.43,86.7,11054.36,290.6,85.6,164.5,51.02,90,292.27,51.39,5.85,82.93,122.01,159.5,16.44,18.66,30.6,14.63,8.42,6.19,8.43,11.02,8.58,15.17,12.62,6.87,16.86,34.09,3.01,11.5,30.97,17.03,4.63
2006-02-03,84,7.31,42,41.67,361,15.15,107,137,63.17,138.75,10.57,100,33.25,3.48,63.61,39.7,71.94,21.66,88.24,121.5,99.14,179.49,79.26,42.5,69,17.63,206.13,86.6,10880,286.56,82.3,163.5,51.02,90,291.81,51.2,5.8,84.08,120.45,162,16.2,19.34,30.75,14.66,8.4,6.13,8.45,11.22,8.25,15.08,12.73,6.86,16.9,33.4,3.03,11.36,30.68,16.81,4.56
2006-02-06,84.75,7.33,41.5,41.83,363,14.99,105.5,137,63.5,139.75,10.69,100,33.63,3.53,64.19,38.67,72.87,21.59,90.04,121.5,102.41,180.31,79.74,42.9,69.2,17.68,207.98,87.2,10688.21,287.37,84.6,165.5,51.41,91.25,290.88,51.39,5.8,84.23,120.84,163.5,16.42,19.16,31.25,14.91,8.49,6.21,8.67,11.3,8.41,14.95,12.76,6.91,16.76,33.98,3.11,11.4,30.81,17.05,4.58
2006-02-07,84.5,7.35,41.38,42,365,14.64,101,134.5,63.33,138.25,10.62,99.25,33.75,3.52,63.8,38.9,72.22,21.9,88.49,119,101.48,179.9,80.94,43.4,68.4,17.65,204.51,86.2,10426.67,284.14,82.5,165,50.71,89.5,289.02,51,5.73,83.36,118.51,163,16.36,19.41,31.68,14.51,8.07,6.2,8.54,11.33,8.18,14.81,12.75,6.85,16.77,33.33,3.15,11.3,30.5,16.88,4.8
2006-02-08,82.25,7.9,41.5,41.83,358.5,14.8,97.75,133,65,137,10.71,99.5,33.75,3.53,65.35,38.9,75.66,22.1,91.85,119,101.94,184.04,82.15,43.7,67.8,17.6,204.74,85.8,10461.54,287.37,82.6,162,50.4,92.25,289.48,52.75,5.7,81.93,117.53,164.5,16.5,18.82,31.25,14.97,8.22,6.09,8.48,11.23,8.01,15.02,12.7,7.04,16.76,32.69,3.13,11.3,29.52,16.92,4.85
2006-02-09,83.5,7.79,45.88,42.5,361,15.27,101.5,133.5,66.17,137.75,10.74,102.5,34.63,3.5,65.55,39.01,77.51,22.1,90.82,123,104.28,184.86,85.76,44.1,68.5,17.65,203.58,86.8,10269.74,286.97,84.3,164.5,51.02,96.5,291.34,52.75,5.85,83.36,119.67,165,16.9,19.02,31.15,15.08,8.26,6.12,8.5,11.38,8.01,15.19,12.77,7.07,17.1,33.4,3.13,11.3,30.09,16.87,4.83
2006-02-10,83.75,8.31,46.25,40.67,359.5,14.99,96,132.5,65.67,138.25,10.81,100,34.5,3.52,64.97,38.78,76.31,22.14,90.82,121.5,105.22,184.04,85.76,41.7,68.7,17.68,202.42,85.6,9955.9,291.41,87.1,163.5,51.18,96,288.09,52.55,5.73,81.93,118.9,166.5,16.5,19.16,31.2,15.4,8.19,6.15,8.57,11.3,7.84,15,12.92,7.03,17.08,32.99,3.13,11.3,29.9,16.91,4.94
2006-02-13,84.25,8.25,46.38,40.5,358.5,14.84,91.75,134,65.33,141,10.76,100.75,34.13,3.58,64.58,38.9,75.75,22.62,90.56,126.5,104.28,183.21,85.28,42,70.4,17.8,205.43,85.5,10112.82,292.62,85.6,167,50.79,96.5,289.02,51.78,5.68,83.65,120.06,167.5,16.27,19.45,31,15.61,8.23,6.21,8.63,11.23,7.98,15.01,13.18,6.92,17.16,32.49,3.13,11.35,29.47,17.05,4.93
2006-02-14,84.5,8.15,48.5,40.67,357.5,15.03,92.75,135.5,65.33,143.25,10.64,100.75,34.13,3.7,64.77,38.78,76.4,22.69,90.56,127.5,105.22,185.69,84.8,41.4,69.5,17.75,203.81,85.9,10200,303.51,86,166.5,51.64,97,290.88,51.97,5.75,87.68,120.26,172.5,16.25,19.5,31.09,15.68,8.19,6.17,8.8,11.38,7.54,15.33,14.19,6.95,16.95,32.49,3.12,11.7,29.55,17.27,4.97
2006-02-15,83,8.12,48.5,42,356.5,15.39,93,137,64.5,143,11.14,103,34,3.7,64.38,38.32,77.42,22.76,89.78,125.5,105.22,175.35,85.04,40.9,68.4,17.77,203.58,85,10008.21,302.71,85.1,165.5,52.5,97.25,290.41,51.78,5.75,94.86,122.79,171,16.31,19.55,31.8,15.69,8.19,6.33,8.71,11.73,7.87,15.62,13.71,6.91,17.16,32.56,3.13,11.84,29.45,17.71,5.03
2006-02-16,87.25,8.17,48.88,43.5,356.5,15.27,92,139,64,143,11.57,104.25,34.13,3.7,65.35,39.24,78.35,22.83,90.04,128.5,106.62,173.7,84.32,41.6,68.8,17.9,202.19,84.8,10200,309.57,84.8,167.5,53.12,95.5,290.88,51.78,5.75,93.71,124.74,172.5,16.3,19.55,32.02,15.68,8.15,6.41,8.73,12.38,8.1,15.85,13.52,6.95,17.09,32.6,3.13,11.72,29.91,17.49,4.98
2006-02-17,88.5,8.12,48.88,45,353.5,15.31,96.75,136.5,64.5,142.75,11.57,104.75,34.38,3.73,65.55,39.7,77.89,23.28,91.07,128.5,105.69,173.7,84.8,41.6,68.6,17.88,203.12,85,10200,313.2,84.5,170,53.12,95,293.66,52.36,5.75,95.73,124.74,173,16.75,19.52,31.95,15.75,8.13,6.34,8.78,12.41,8.4,15.77,13.54,7.03,17.3,33.75,3.1,11.75,30.46,17.85,5.1
2006-02-20,89,8.15,48.88,45.5,352.5,15.19,99.25,136.5,64.17,144,11.55,104.75,34.5,3.69,66.52,39.7,77.42,23.21,91.59,129,105.69,172.46,85.04,41.8,69.5,17.88,204.27,84.9,10234.87,308.36,84,167,53.66,94.25,292.74,53.14,5.73,94.29,125.52,175.5,16.72,19.75,32.75,15.8,8.16,6.36,8.91,12.43,8.62,15.75,13.56,7.11,17.56,34.36,3.12,11.94,30.5,17.92,5.13
2006-02-21,90.5,8.29,49.25,46.33,359.5,15.11,98.25,137,67.83,145.5,11.64,105.5,34.75,3.74,66.9,39.59,77.51,23.07,92.62,130.5,106.15,174.94,82.15,41.7,70.6,18.02,204.97,84.8,10304.62,299.48,84.8,170,54.05,94.75,294.59,53.72,5.78,95.44,125.13,175.5,17,20.65,33,15.8,8.21,6.39,9.03,12.43,8.56,15.8,13.64,7.14,17.75,34.64,3.16,12.06,30.74,17.95,5.16
2006-02-22,92.5,8.29,48.75,45.83,364,15.51,98,137.5,68.67,144,11.62,105,34.38,3.86,69.81,38.67,76.96,22.86,92.88,129.5,107.09,176.18,82.39,42.6,70.1,18.08,206.59,86.5,10252.31,302.71,83.8,179.5,54.52,88,297.38,55.66,5.75,96.01,126.69,180,17.4,21.29,32.35,15.85,8.26,6.4,8.95,12.32,8.53,15.83,13.59,7.45,18.2,34.8,3.09,11.96,30.45,17.91,5.08
2006-02-23,93.75,8.21,49.25,45.5,364,15.75,98.75,136.5,69.17,144,11.67,107.5,34.5,3.94,70.01,39.24,77.79,23.04,92.36,129,106.62,175.35,82.87,42.7,69.6,18.15,205.43,86.1,10060.51,309.17,84.3,192,54.52,88.5,303.89,55.66,5.7,95.87,128.25,182.5,17.1,21.1,32.83,15.81,8.29,6.43,9.05,12.45,8.38,15.86,13.62,7.45,18.17,34.55,3.11,12.14,30.97,17.74,5.16
