Date,ELISA,FORTUM,HIAB,HUH1V,KALMAR,KEMIRA,KESKOB,KOJAMO,KNEBV,KCR,MANTA,METSO,NESTE,NOKIA,TYRES,NDAFI,ORNBV,OUT1V,QTCOM,SAMPO,STERV,TIETO,UPM,VALMT,WRT1V
1990-10-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-10-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-10-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-10-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-10-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-11-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-11-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-11-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-11-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-11-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-11-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN
